{{c1::Landy 2C}} is {{c2::an immediate overcall of 2C over 1NT}}, indicating {{c2::10+ points::points}} and {{c2::5/4 in the majors or longer::distribution}}.	Woodbury	misc	
If RHO has overcalled your partner's suit in no-trump, your lead needs to consider that {{c1::you ought not initially to lead your partner's suit, since RHO promised a stopper in it, so best to let your partner lead that suit through that stopper, at least to break the suit}}.	Goffe	misc	
